SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default.payment.next.month,BILL_LIMIT_RATIO,PAYMENT_RATIO,TOTAL_PAID_6MONTHS,LOG_LIMIT_BAL
2,2,1,24,2,2,-1,-1,-2,-2,1,0.19565,0.0,689.0,9.903487552536127
2,2,2,26,-1,2,0,0,0,2,1,0.02235,0.0,5000.0,11.695247021764184
2,2,2,34,0,0,0,0,0,0,0,0.32487777777777777,0.05191696022435788,11018.0,11.407564949312402
2,2,1,37,0,0,0,0,0,0,0,0.9398,0.04256224728665674,8388.0,10.819778284410283
1,2,1,57,-1,0,-1,0,0,0,0,0.17234,0.23209933851688522,59049.0,10.819778284410283
1,1,2,37,0,0,0,0,0,0,0,1.288,0.03881987577639751,7772.0,10.819778284410283
1,1,2,29,0,0,0,0,0,0,0,0.73593,0.14947073770603184,180759.0,13.122363377404328
2,2,2,23,0,-1,-1,0,0,-1,0,0.11876,0.03199730549006399,4791.0,11.512925464970229
2,3,1,28,0,0,2,0,0,0,0,0.08060714285714286,0.29499335400974747,6761.0,11.84939770159144
1,3,2,35,-2,-2,-2,-2,-1,-1,0,0.0,0.0,14129.0,9.903487552536127
2,3,2,34,0,0,2,0,0,-1,0,0.055365,0.20825431229115868,6472.0,12.206072645530174
2,1,2,51,-1,-1,-1,-1,-1,2,0,0.04715769230769231,1.7794633390424925,66308.0,12.468436909997665
2,2,2,41,-1,0,-1,-1,-1,-1,0,0.019265079365079363,0.08239268352970257,23370.0,13.353475098367715
1,2,2,30,2,2,2,0,0,2,1,0.9400285714285714,0.04863074070696939,10700.0,11.156250521031495
1,1,2,29,0,0,0,0,0,0,0,0.283548,0.04232087688856913,18000.0,12.429216196844383
2,3,3,23,2,2,0,0,0,0,0,1.01228,0.0,6200.0,10.819778284410283
1,1,2,24,0,0,2,2,2,2,1,0.7688,0.2081165452653486,6350.0,9.903487552536127
1,1,1,49,0,0,0,-1,-1,-1,0,0.79151875,0.04089448291654493,361897.0,12.676076274775909
2,1,1,49,2,-2,-2,-2,-2,-2,0,0.0,0.0,0.0,12.793859310432293
2,1,2,29,2,-2,-2,-2,-2,-2,0,0.0,0.0,0.0,12.100712129872347
2,3,2,39,0,0,0,0,0,-1,0,0.2950615384615385,0.0782105427811669,42231.0,11.77528972943772
2,2,1,39,-1,-1,-1,-1,-1,-1,1,0.0026333333333333334,1.0,1580.0,11.695247021764184
2,2,2,26,2,0,0,2,2,2,1,0.5869571428571428,0.04884756735707158,11010.0,11.156250521031495
2,1,1,40,-2,-2,-2,-2,-2,-2,1,0.012248888888888889,3.5246734397677795,22589.0,13.017002861746503
1,1,2,23,0,0,0,-1,0,0,0,0.05271111111111111,1.2135328836424957,16400.0,11.407564949312402
1,3,2,23,0,0,0,0,0,0,0,0.9524,0.041432171356572865,7891.0,10.819778284410283
1,1,2,27,2,-2,-1,-1,-1,-1,1,-0.0018166666666666667,-0.0,2500.0,11.002099841204238
2,3,2,30,0,0,0,0,0,0,0,0.45082,0.05767268532895613,7112.0,10.819778284410283
2,3,1,47,-1,-1,-1,-1,-1,-1,0,0.013,5.253846153846154,39567.0,10.819778284410283
1,1,2,26,0,0,0,0,0,0,0,0.30658,0.09785374127470807,6600.0,10.819778284410283
2,1,2,27,-1,-1,-1,-1,-1,-1,0,0.07237391304347826,1.0374864832392166,97489.0,12.345834587905333
1,2,2,33,2,0,0,0,0,0,1,0.61036,0.0562946457828167,6934.0,10.819778284410283
1,1,2,32,0,0,0,0,0,0,0,0.93036,0.032492798486607334,18744.0,11.512925464970229
2,2,1,54,-2,-2,-2,-2,-2,-2,0,0.021858,0.3799066703266539,158502.0,13.122363377404328
1,1,1,58,-2,-2,-2,-2,-2,-2,0,0.027418,0.3651615726894741,45425.0,13.122363377404328
1,1,2,30,-1,-1,-2,-2,-2,-1,0,0.18915625,0.004328432182388898,2280.0,11.982929094215963
1,2,1,40,0,0,0,0,0,0,0,0.6660821428571428,0.04303416030841327,41923.0,12.542544882151386
2,2,2,22,0,0,0,0,0,-1,0,0.2509,0.0996412913511359,53349.0,11.002099841204238
1,1,2,25,2,-1,-1,-2,-2,-2,1,0.0,16.887505148573087,780.0,10.819778284410283
1,1,2,31,-1,-1,2,-1,0,-1,0,0.0017785714285714286,16.887505148573087,37357.0,12.542544882151386
1,1,2,33,0,0,0,0,0,0,0,0.6074111111111111,0.04573142846689959,243840.0,12.793859310432293
2,1,2,25,0,0,0,0,0,0,0,0.9645857142857143,0.044430621584395966,19342.0,11.156250521031495
1,2,2,22,0,0,0,0,0,0,0,0.1877,0.7991475759190197,7227.0,9.210340371976184
2,2,1,37,0,0,0,0,0,0,0,0.4250285714285714,0.050416778703952676,20000.0,11.84939770159144
2,1,2,30,0,0,0,2,0,0,0,0.473175,0.1585037248375337,13000.0,10.596634733096073
1,1,2,29,-2,-2,-2,-2,-2,-2,1,0.0,0.0,0.0,12.254862809699606
2,1,2,22,0,0,2,-1,0,0,1,0.7014,0.21385799828913601,20075.0,9.903487552536127
2,0,2,46,0,0,-1,0,0,-2,1,0.029753333333333333,0.22697736948241093,2183.0,11.918390573078392
1,2,2,32,-1,-1,-1,-1,-1,-1,0,0.05895,0.9615642158832195,93332.0,12.84792653170257
1,1,2,24,0,0,0,0,0,0,0,0.87235,0.075543073307732,6246.0,9.903487552536127
1,3,2,42,2,2,2,2,2,0,1,0.5291714285714286,0.0,8100.0,11.156250521031495
2,3,3,43,0,0,0,0,0,0,0,0.61559,0.03248915674393671,9606.0,11.512925464970229
2,2,1,49,-2,-2,-2,-2,-2,-2,0,0.04343548387096774,0.5848496101002599,30668.0,12.644327576461329
2,1,2,25,2,2,0,0,0,0,0,0.2300111111111111,0.03139944930196609,10246.0,12.100712129872347
2,1,2,29,2,0,0,0,0,0,0,0.30816,0.034614053305642094,12867.0,11.918390573078392
2,1,1,45,-2,-2,-2,-2,-2,-2,0,0.00381,1.9107611548556431,6483.0,13.122363377404328
2,3,1,34,0,0,0,-1,-1,-1,0,0.09103333333333333,0.5187355059196875,29179.0,12.100712129872347
2,2,1,34,0,0,0,0,0,0,0,0.9771444444444445,0.04595590325551778,34062.0,12.100712129872347
2,1,2,34,-1,3,2,2,2,2,0,0.007935,0.0,1900.0,12.206072645530174
2,2,1,29,0,0,0,0,0,0,0,1.000335,0.042485767267965234,109029.0,12.89921982609012
2,3,1,28,0,0,0,0,0,0,1,0.045696,0.0663515406162465,8816.0,13.122363377404328
1,2,1,39,0,0,0,0,0,-1,0,1.0114285714285713,0.0568502824858757,12120.0,11.156250521031495
1,1,2,29,2,2,2,2,2,2,1,0.49974,0.0,6125.0,10.819778284410283
